               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094814,            0.034379,            0.046964,             0.51815,             0.39941,             0.22618,            0.078091,            0.071195,            0.027267,            0.033589,            0.070769,           0.0032479,           0.0032479
                   1,            0.065607,            0.034945,            0.024791,             0.64269,             0.42136,             0.41491,             0.16092,            0.059502,             0.01693,             0.01635,            0.040639,           0.0064509,           0.0064509
                   2,            0.061169,            0.031018,            0.014677,               0.747,             0.44334,             0.53629,             0.24211,            0.054593,            0.016615,           0.0097391,            0.010377,           0.0095219,           0.0095219
                   3,            0.054546,            0.030614,            0.010223,             0.50033,             0.44486,             0.40945,             0.19263,            0.058038,             0.01886,            0.011977,            0.009406,            0.009406,            0.009406
                   4,            0.050159,            0.030269,           0.0074701,             0.66796,             0.54981,             0.59422,             0.32617,            0.043813,             0.01561,            0.018045,            0.009406,            0.009406,            0.009406
                   5,            0.046019,            0.029381,            0.007263,               0.625,             0.57638,             0.59764,             0.33761,            0.043464,            0.016077,            0.010214,            0.009208,            0.009208,            0.009208
                   6,            0.045556,            0.029426,           0.0066078,             0.65501,             0.55677,             0.62596,             0.34841,              0.0406,            0.015716,            0.013771,             0.00901,             0.00901,             0.00901
                   7,            0.044093,            0.029496,           0.0058898,             0.78945,              0.7191,             0.77724,             0.45397,            0.037028,            0.013962,           0.0040655,            0.008812,            0.008812,            0.008812
                   8,            0.042401,            0.028574,           0.0054226,             0.69348,             0.67077,             0.72552,             0.43853,            0.036948,            0.014234,            0.011311,            0.008614,            0.008614,            0.008614
                   9,            0.042012,            0.028363,           0.0042051,             0.72261,             0.70608,             0.76363,              0.4544,            0.035941,            0.013629,           0.0064198,            0.008416,            0.008416,            0.008416
                  10,            0.040787,            0.028006,           0.0042928,             0.79967,             0.67176,             0.76817,             0.46539,            0.035395,            0.013836,           0.0083062,            0.008218,            0.008218,            0.008218
                  11,            0.040334,            0.027649,           0.0036309,             0.82149,             0.75324,             0.81779,             0.51403,            0.033528,            0.013334,           0.0024128,             0.00802,             0.00802,             0.00802
                  12,             0.03937,             0.02743,           0.0037556,             0.82598,             0.72067,              0.8052,             0.49364,            0.034286,            0.012719,           0.0033234,            0.007822,            0.007822,            0.007822
                  13,            0.038712,            0.027538,           0.0036629,             0.74082,             0.71194,               0.787,             0.47702,            0.034104,            0.012533,           0.0064939,            0.007624,            0.007624,            0.007624
                  14,            0.038079,            0.026572,           0.0034031,             0.76992,             0.73365,             0.79598,             0.49218,            0.034163,            0.013221,           0.0031176,            0.007426,            0.007426,            0.007426
                  15,            0.038151,            0.026615,           0.0029284,             0.84587,             0.77304,             0.84614,             0.54735,            0.031506,            0.011575,           0.0015381,            0.007228,            0.007228,            0.007228
                  16,            0.037217,            0.026058,           0.0028759,             0.86668,             0.78517,             0.84753,             0.53935,            0.032752,            0.012547,           0.0018083,             0.00703,             0.00703,             0.00703
                  17,            0.036575,            0.026149,           0.0029998,              0.8499,             0.76717,             0.83253,             0.54263,            0.031952,            0.011817,           0.0016667,            0.006832,            0.006832,            0.006832
                  18,            0.036238,            0.026021,            0.002864,             0.83998,             0.76579,             0.84389,             0.53957,             0.03128,            0.011872,           0.0023406,            0.006634,            0.006634,            0.006634
                  19,            0.035776,            0.025256,           0.0023612,             0.78687,             0.78963,              0.8193,             0.54575,             0.03159,            0.011657,           0.0010894,            0.006436,            0.006436,            0.006436
                  20,            0.035505,            0.025353,            0.002169,             0.84422,             0.83829,             0.86807,             0.58595,            0.030969,            0.011299,           0.0014405,            0.006238,            0.006238,            0.006238
                  21,            0.034971,            0.024856,           0.0019649,             0.87628,             0.79536,             0.86749,             0.57817,            0.030045,            0.011687,           0.0014516,             0.00604,             0.00604,             0.00604
                  22,            0.034603,            0.024962,            0.001944,             0.88407,             0.77838,             0.86333,             0.56185,            0.030261,            0.011239,           0.0011776,            0.005842,            0.005842,            0.005842
                  23,            0.033732,            0.023881,           0.0020338,             0.88157,             0.82251,             0.87766,             0.58554,            0.029371,            0.011319,           0.0011498,            0.005644,            0.005644,            0.005644
                  24,            0.033448,             0.02422,           0.0017217,             0.88812,              0.8034,             0.87533,             0.59695,            0.029252,            0.011261,          0.00093894,            0.005446,            0.005446,            0.005446
                  25,            0.033158,            0.023422,           0.0017055,             0.89354,             0.82168,             0.88205,             0.59867,            0.029315,            0.010972,          0.00093541,            0.005248,            0.005248,            0.005248
                  26,            0.032899,            0.023946,           0.0016039,             0.85827,             0.84212,             0.88767,             0.61329,            0.029517,            0.010958,          0.00069613,             0.00505,             0.00505,             0.00505
                  27,            0.032571,            0.024128,           0.0018042,             0.86532,             0.82189,             0.87356,             0.59723,            0.029368,            0.011209,           0.0011391,            0.004852,            0.004852,            0.004852
                  28,            0.031916,            0.023317,           0.0014948,             0.89744,             0.82655,              0.8815,             0.61091,            0.028185,            0.010964,          0.00085869,            0.004654,            0.004654,            0.004654
