               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10141,            0.032669,             0.04851,             0.33771,             0.19139,             0.10115,            0.026117,            0.080021,            0.042778,            0.039587,            0.070769,           0.0032479,           0.0032479
                   1,            0.068702,             0.03598,            0.029404,             0.41572,             0.40956,             0.33751,             0.13724,            0.065977,            0.020582,            0.019579,            0.040704,            0.006516,            0.006516
                   2,            0.065038,            0.032129,            0.018252,             0.64787,             0.36448,              0.3603,             0.13309,            0.059796,            0.019276,            0.015897,            0.010573,           0.0097182,           0.0097182
                   3,            0.059313,            0.031815,            0.012843,             0.39901,             0.46567,             0.38858,             0.14981,            0.060097,            0.028233,            0.014161,            0.009703,            0.009703,            0.009703
                   4,            0.053925,            0.032242,           0.0090549,             0.59922,             0.45578,             0.47994,             0.22383,            0.048731,            0.027072,            0.022115,            0.009703,            0.009703,            0.009703
                   5,             0.04995,            0.031546,           0.0092388,             0.60293,             0.37431,             0.40411,             0.20412,            0.049165,            0.017989,            0.028531,            0.009604,            0.009604,            0.009604
                   6,            0.049799,            0.031403,           0.0084132,             0.65788,             0.52419,              0.5812,             0.28784,             0.04377,            0.015802,            0.012243,            0.009505,            0.009505,            0.009505
                   7,            0.048082,             0.03193,           0.0078586,             0.65043,             0.60624,             0.63443,             0.33215,            0.042947,            0.016757,             0.01091,            0.009406,            0.009406,            0.009406
                   8,            0.046557,            0.030551,           0.0066931,             0.69657,              0.6223,             0.67331,             0.35737,            0.043284,            0.016958,           0.0072039,            0.009307,            0.009307,            0.009307
                   9,            0.046111,            0.030656,           0.0055382,             0.69569,             0.65035,             0.68835,             0.35934,            0.041463,             0.01539,           0.0063698,            0.009208,            0.009208,            0.009208
                  10,            0.045077,            0.030378,           0.0054151,             0.68208,             0.59306,             0.67038,             0.36824,            0.040481,            0.014721,            0.018223,            0.009109,            0.009109,            0.009109
                  11,            0.044981,            0.029936,           0.0049167,             0.74488,             0.67738,             0.74925,              0.4219,            0.037867,            0.014786,             0.01129,             0.00901,             0.00901,             0.00901
                  12,            0.043478,            0.029977,           0.0054063,             0.68656,             0.55768,             0.62213,             0.33716,            0.042174,            0.015695,              0.0117,            0.008911,            0.008911,            0.008911
