BN Layer: model.0.bn, Connected Conv Layer: model.0.conv, Number of Parameters: 1728
BN Layer: model.1.bn, Connected Conv Layer: model.1.conv, Number of Parameters: 4608
BN Layer: model.2.cv1.bn, Connected Conv Layer: model.2.cv1.conv, Number of Parameters: 512
BN Layer: model.2.cv2.bn, Connected Conv Layer: model.2.cv2.conv, Number of Parameters: 512
BN Layer: model.2.cv3.bn, Connected Conv Layer: model.2.cv3.conv, Number of Parameters: 899
BN Layer: model.2.m.0.cv1.bn, Connected Conv Layer: model.2.m.0.cv1.conv, Number of Parameters: 256
BN Layer: model.2.m.0.cv2.bn, Connected Conv Layer: model.2.m.0.cv2.conv, Number of Parameters: 2160
BN Layer: model.3.bn, Connected Conv Layer: model.3.conv, Number of Parameters: 14094
BN Layer: model.4.cv1.bn, Connected Conv Layer: model.4.cv1.conv, Number of Parameters: 270
BN Layer: model.4.cv2.bn, Connected Conv Layer: model.4.cv2.conv, Number of Parameters: 1674
BN Layer: model.4.cv3.bn, Connected Conv Layer: model.4.cv3.conv, Number of Parameters: 2268
BN Layer: model.4.m.0.cv1.bn, Connected Conv Layer: model.4.m.0.cv1.conv, Number of Parameters: 115
BN Layer: model.4.m.0.cv2.bn, Connected Conv Layer: model.4.m.0.cv2.conv, Number of Parameters: 4761
BN Layer: model.4.m.1.cv1.bn, Connected Conv Layer: model.4.m.1.cv1.conv, Number of Parameters: 506
BN Layer: model.4.m.1.cv2.bn, Connected Conv Layer: model.4.m.1.cv2.conv, Number of Parameters: 6336
BN Layer: model.5.bn, Connected Conv Layer: model.5.conv, Number of Parameters: 28836
BN Layer: model.6.cv1.bn, Connected Conv Layer: model.6.cv1.conv, Number of Parameters: 445
BN Layer: model.6.cv2.bn, Connected Conv Layer: model.6.cv2.conv, Number of Parameters: 5696
BN Layer: model.6.cv3.bn, Connected Conv Layer: model.6.cv3.conv, Number of Parameters: 12726
BN Layer: model.6.m.0.cv1.bn, Connected Conv Layer: model.6.m.0.cv1.conv, Number of Parameters: 305
BN Layer: model.6.m.0.cv2.bn, Connected Conv Layer: model.6.m.0.cv2.conv, Number of Parameters: 12627
BN Layer: model.6.m.1.cv1.bn, Connected Conv Layer: model.6.m.1.cv1.conv, Number of Parameters: 1357
BN Layer: model.6.m.1.cv2.bn, Connected Conv Layer: model.6.m.1.cv2.conv, Number of Parameters: 25488
BN Layer: model.6.m.2.cv1.bn, Connected Conv Layer: model.6.m.2.cv1.conv, Number of Parameters: 2880
BN Layer: model.6.m.2.cv2.bn, Connected Conv Layer: model.6.m.2.cv2.conv, Number of Parameters: 33480
BN Layer: model.7.bn, Connected Conv Layer: model.7.conv, Number of Parameters: 231795
BN Layer: model.8.cv1.bn, Connected Conv Layer: model.8.cv1.conv, Number of Parameters: 6375
BN Layer: model.8.cv2.bn, Connected Conv Layer: model.8.cv2.conv, Number of Parameters: 32640
BN Layer: model.8.cv3.bn, Connected Conv Layer: model.8.cv3.conv, Number of Parameters: 65536
BN Layer: model.8.m.0.cv1.bn, Connected Conv Layer: model.8.m.0.cv1.conv, Number of Parameters: 3175
BN Layer: model.8.m.0.cv2.bn, Connected Conv Layer: model.8.m.0.cv2.conv, Number of Parameters: 146304
BN Layer: model.9.cv1.bn, Connected Conv Layer: model.9.cv1.conv, Number of Parameters: 29696
BN Layer: model.9.cv2.bn, Connected Conv Layer: model.9.cv2.conv, Number of Parameters: 110432
BN Layer: model.10.bn, Connected Conv Layer: model.10.conv, Number of Parameters: 27132
BN Layer: model.13.cv1.bn, Connected Conv Layer: model.13.cv1.conv, Number of Parameters: 6880
BN Layer: model.13.cv2.bn, Connected Conv Layer: model.13.cv2.conv, Number of Parameters: 7310
BN Layer: model.13.cv3.bn, Connected Conv Layer: model.13.cv3.conv, Number of Parameters: 5880
BN Layer: model.13.m.0.cv1.bn, Connected Conv Layer: model.13.m.0.cv1.conv, Number of Parameters: 1056
BN Layer: model.13.m.0.cv2.bn, Connected Conv Layer: model.13.m.0.cv2.conv, Number of Parameters: 10692
BN Layer: model.14.bn, Connected Conv Layer: model.14.conv, Number of Parameters: 1848
BN Layer: model.17.cv1.bn, Connected Conv Layer: model.17.cv1.conv, Number of Parameters: 290
BN Layer: model.17.cv2.bn, Connected Conv Layer: model.17.cv2.conv, Number of Parameters: 464
