BN Layer: model.0.bn, Connected Conv Layer: model.0.conv, Number of Parameters: 3456
BN Layer: model.1.bn, Connected Conv Layer: model.1.conv, Number of Parameters: 18432
BN Layer: model.2.cv1.bn, Connected Conv Layer: model.2.cv1.conv, Number of Parameters: 2048
BN Layer: model.2.cv2.bn, Connected Conv Layer: model.2.cv2.conv, Number of Parameters: 2048
BN Layer: model.2.cv3.bn, Connected Conv Layer: model.2.cv3.conv, Number of Parameters: 4096
BN Layer: model.2.m.0.cv1.bn, Connected Conv Layer: model.2.m.0.cv1.conv, Number of Parameters: 1024
BN Layer: model.2.m.0.cv2.bn, Connected Conv Layer: model.2.m.0.cv2.conv, Number of Parameters: 9216
BN Layer: model.3.bn, Connected Conv Layer: model.3.conv, Number of Parameters: 73728
BN Layer: model.4.cv1.bn, Connected Conv Layer: model.4.cv1.conv, Number of Parameters: 8192
BN Layer: model.4.cv2.bn, Connected Conv Layer: model.4.cv2.conv, Number of Parameters: 8192
BN Layer: model.4.cv3.bn, Connected Conv Layer: model.4.cv3.conv, Number of Parameters: 16384
BN Layer: model.4.m.0.cv1.bn, Connected Conv Layer: model.4.m.0.cv1.conv, Number of Parameters: 4096
BN Layer: model.4.m.0.cv2.bn, Connected Conv Layer: model.4.m.0.cv2.conv, Number of Parameters: 36864
BN Layer: model.4.m.1.cv1.bn, Connected Conv Layer: model.4.m.1.cv1.conv, Number of Parameters: 4096
BN Layer: model.4.m.1.cv2.bn, Connected Conv Layer: model.4.m.1.cv2.conv, Number of Parameters: 36864
BN Layer: model.5.bn, Connected Conv Layer: model.5.conv, Number of Parameters: 294912
BN Layer: model.6.cv1.bn, Connected Conv Layer: model.6.cv1.conv, Number of Parameters: 32768
BN Layer: model.6.cv2.bn, Connected Conv Layer: model.6.cv2.conv, Number of Parameters: 32768
BN Layer: model.6.cv3.bn, Connected Conv Layer: model.6.cv3.conv, Number of Parameters: 30464
BN Layer: model.6.m.0.cv1.bn, Connected Conv Layer: model.6.m.0.cv1.conv, Number of Parameters: 16384
BN Layer: model.6.m.0.cv2.bn, Connected Conv Layer: model.6.m.0.cv2.conv, Number of Parameters: 147456
BN Layer: model.6.m.1.cv1.bn, Connected Conv Layer: model.6.m.1.cv1.conv, Number of Parameters: 16384
BN Layer: model.6.m.1.cv2.bn, Connected Conv Layer: model.6.m.1.cv2.conv, Number of Parameters: 147456
BN Layer: model.6.m.2.cv1.bn, Connected Conv Layer: model.6.m.2.cv1.conv, Number of Parameters: 16384
BN Layer: model.6.m.2.cv2.bn, Connected Conv Layer: model.6.m.2.cv2.conv, Number of Parameters: 147456
BN Layer: model.7.bn, Connected Conv Layer: model.7.conv, Number of Parameters: 548352
BN Layer: model.8.cv1.bn, Connected Conv Layer: model.8.cv1.conv, Number of Parameters: 131072
BN Layer: model.8.cv2.bn, Connected Conv Layer: model.8.cv2.conv, Number of Parameters: 131072
BN Layer: model.8.cv3.bn, Connected Conv Layer: model.8.cv3.conv, Number of Parameters: 262144
BN Layer: model.8.m.0.cv1.bn, Connected Conv Layer: model.8.m.0.cv1.conv, Number of Parameters: 65536
BN Layer: model.8.m.0.cv2.bn, Connected Conv Layer: model.8.m.0.cv2.conv, Number of Parameters: 589824
BN Layer: model.9.cv1.bn, Connected Conv Layer: model.9.cv1.conv, Number of Parameters: 131072
BN Layer: model.9.cv2.bn, Connected Conv Layer: model.9.cv2.conv, Number of Parameters: 524288
BN Layer: model.10.bn, Connected Conv Layer: model.10.conv, Number of Parameters: 131072
BN Layer: model.13.cv1.bn, Connected Conv Layer: model.13.cv1.conv, Number of Parameters: 48000
BN Layer: model.13.cv2.bn, Connected Conv Layer: model.13.cv2.conv, Number of Parameters: 48000
BN Layer: model.13.cv3.bn, Connected Conv Layer: model.13.cv3.conv, Number of Parameters: 65536
BN Layer: model.13.m.0.cv1.bn, Connected Conv Layer: model.13.m.0.cv1.conv, Number of Parameters: 16384
BN Layer: model.13.m.0.cv2.bn, Connected Conv Layer: model.13.m.0.cv2.conv, Number of Parameters: 147456
BN Layer: model.14.bn, Connected Conv Layer: model.14.conv, Number of Parameters: 32768
BN Layer: model.17.cv1.bn, Connected Conv Layer: model.17.cv1.conv, Number of Parameters: 16384
BN Layer: model.17.cv2.bn, Connected Conv Layer: model.17.cv2.conv, Number of Parameters: 16384
BN Layer: model.17.cv3.bn, Connected Conv Layer: model.17.cv3.conv, Number of Parameters: 16384
BN Layer: model.17.m.0.cv1.bn, Connected Conv Layer: model.17.m.0.cv1.conv, Number of Parameters: 4096
BN Layer: model.17.m.0.cv2.bn, Connected Conv Layer: model.17.m.0.cv2.conv, Number of Parameters: 36864
BN Layer: model.18.bn, Connected Conv Layer: model.18.conv, Number of Parameters: 147456
BN Layer: model.20.cv1.bn, Connected Conv Layer: model.20.cv1.conv, Number of Parameters: 32768
BN Layer: model.20.cv2.bn, Connected Conv Layer: model.20.cv2.conv, Number of Parameters: 32768
BN Layer: model.20.cv3.bn, Connected Conv Layer: model.20.cv3.conv, Number of Parameters: 65536
BN Layer: model.20.m.0.cv1.bn, Connected Conv Layer: model.20.m.0.cv1.conv, Number of Parameters: 16384
BN Layer: model.20.m.0.cv2.bn, Connected Conv Layer: model.20.m.0.cv2.conv, Number of Parameters: 147456
BN Layer: model.21.bn, Connected Conv Layer: model.21.conv, Number of Parameters: 589824
BN Layer: model.23.cv1.bn, Connected Conv Layer: model.23.cv1.conv, Number of Parameters: 131072
BN Layer: model.23.cv2.bn, Connected Conv Layer: model.23.cv2.conv, Number of Parameters: 131072
BN Layer: model.23.cv3.bn, Connected Conv Layer: model.23.cv3.conv, Number of Parameters: 261632
BN Layer: model.23.m.0.cv1.bn, Connected Conv Layer: model.23.m.0.cv1.conv, Number of Parameters: 65536
BN Layer: model.23.m.0.cv2.bn, Connected Conv Layer: model.23.m.0.cv2.conv, Number of Parameters: 587520

Total Number of Parameters (from connected Conv layers to BN layers): 6282880
