               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10141,            0.032675,            0.048527,             0.41977,             0.17176,              0.1051,            0.027351,            0.080346,            0.044711,             0.03967,            0.070769,           0.0032479,           0.0032479
                   1,            0.068613,            0.036081,            0.029553,             0.43721,             0.43995,             0.35963,             0.14533,            0.064291,            0.020539,             0.02042,            0.040443,           0.0062554,           0.0062554
                   2,            0.064378,            0.032304,            0.018448,             0.68565,             0.34884,              0.3984,             0.14061,            0.059639,             0.01794,            0.016935,           0.0097877,            0.008933,            0.008933
                   3,            0.058591,            0.032016,            0.013369,             0.48517,             0.51862,             0.44471,              0.1819,            0.057168,            0.025138,            0.012295,            0.008515,            0.008515,            0.008515
                   4,            0.053524,             0.03209,           0.0096786,             0.46588,             0.46667,             0.40699,             0.18717,             0.04978,            0.020763,            0.064758,            0.008515,            0.008515,            0.008515
                   5,            0.050097,            0.031216,           0.0085315,             0.58771,             0.57588,             0.61061,             0.32693,            0.044146,            0.016101,           0.0085751,             0.00802,             0.00802,             0.00802
                   6,            0.048785,            0.030846,           0.0075459,              0.6851,             0.68543,             0.70453,              0.3699,            0.042468,            0.014358,           0.0043882,            0.007525,            0.007525,            0.007525
                   7,            0.046658,            0.031266,           0.0067891,               0.669,             0.62427,             0.65567,             0.37027,            0.042059,            0.015434,           0.0053267,             0.00703,             0.00703,             0.00703
                   8,            0.045109,            0.030071,           0.0056966,             0.73043,             0.68571,             0.73007,             0.40608,            0.039291,            0.013929,            0.010551,            0.006535,            0.006535,            0.006535
                   9,            0.044269,            0.030093,           0.0049908,             0.70828,             0.66175,             0.69321,              0.4036,            0.038161,             0.01559,            0.009223,             0.00604,             0.00604,             0.00604
                  10,            0.042992,            0.029939,           0.0046971,             0.75652,              0.6875,             0.75072,             0.44377,            0.037329,            0.015164,           0.0028593,            0.005545,            0.005545,            0.005545
                  11,            0.042613,            0.029238,           0.0042641,             0.71366,             0.68632,             0.74069,             0.42842,            0.037756,            0.013692,           0.0038706,             0.00505,             0.00505,             0.00505
                  12,            0.040986,            0.029173,           0.0043546,              0.8099,             0.70445,             0.77993,             0.47909,            0.035732,            0.013108,           0.0028952,            0.004555,            0.004555,            0.004555
                  13,            0.040775,            0.029165,           0.0035132,             0.78595,             0.68106,             0.75418,              0.4563,            0.035808,            0.013654,           0.0054315,             0.00406,             0.00406,             0.00406
                  14,            0.039564,            0.028173,           0.0030753,             0.78128,             0.74418,             0.80549,             0.48152,             0.03493,            0.012754,           0.0019403,            0.003565,            0.003565,            0.003565
                  15,            0.039276,            0.028162,           0.0026922,             0.80054,             0.75566,             0.82122,             0.51476,            0.033637,            0.012343,           0.0013926,             0.00307,             0.00307,             0.00307
                  16,            0.038262,            0.027665,           0.0025776,             0.82523,              0.7325,             0.81268,             0.50599,            0.034069,            0.013167,            0.001674,            0.002575,            0.002575,            0.002575
                  17,            0.037414,            0.027715,           0.0028529,             0.81172,             0.78324,             0.82239,             0.51879,            0.032834,            0.012317,           0.0010558,             0.00208,             0.00208,             0.00208
                  18,            0.037188,            0.027471,            0.002525,             0.82335,             0.75361,             0.82199,              0.5319,            0.032672,            0.012359,           0.0019038,            0.001585,            0.001585,            0.001585
                  19,            0.036528,            0.026683,           0.0023266,             0.82047,             0.78139,             0.82786,              0.5388,            0.032039,            0.012161,           0.0015059,             0.00109,             0.00109,             0.00109
