               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.091,            0.051686,            0.049877,           0.0085576,             0.13336,           0.0068237,           0.0016724,            0.083785,             0.02729,            0.049081,            0.070769,           0.0032479,           0.0032479
                   1,             0.07123,            0.041391,             0.02286,             0.20416,             0.28667,             0.14613,            0.051654,            0.072931,            0.019629,            0.026194,            0.040651,           0.0064627,           0.0064627
                   2,            0.063622,            0.039235,            0.016306,             0.20007,             0.27734,             0.10858,              0.0379,            0.070481,            0.024376,             0.04047,            0.010412,           0.0095576,           0.0095576
                   3,            0.059786,            0.038596,             0.01466,             0.25309,             0.27074,             0.17002,            0.063857,            0.062824,            0.044741,            0.037693,             0.00946,             0.00946,             0.00946
                   4,            0.056985,            0.038216,            0.011677,             0.36262,             0.42019,             0.33364,             0.13912,            0.055926,            0.036202,            0.016309,             0.00946,             0.00946,             0.00946
                   5,            0.054736,            0.036584,            0.011247,             0.40006,             0.46728,             0.40746,             0.17301,            0.055943,            0.020637,            0.013342,             0.00928,             0.00928,             0.00928
                   6,            0.054429,            0.035835,           0.0095433,             0.42992,             0.49679,             0.46123,             0.21102,            0.055638,            0.019033,             0.01311,              0.0091,              0.0091,              0.0091
                   7,            0.052846,            0.036335,           0.0093378,             0.49344,             0.52503,             0.47683,             0.20826,             0.05316,            0.021359,            0.011164,             0.00892,             0.00892,             0.00892
                   8,            0.051788,            0.035215,           0.0085448,             0.54936,             0.52354,             0.54891,             0.25027,            0.051564,            0.018626,           0.0063124,             0.00874,             0.00874,             0.00874
                   9,            0.051233,            0.035277,           0.0074645,             0.50803,             0.58721,             0.54956,              0.2888,            0.048419,            0.018253,           0.0064223,             0.00856,             0.00856,             0.00856
                  10,            0.050726,            0.034751,           0.0072156,             0.61079,             0.55569,             0.56998,             0.28776,             0.04847,             0.01936,             0.01258,             0.00838,             0.00838,             0.00838
                  11,             0.05072,            0.034559,            0.007438,             0.61362,             0.53744,             0.55482,             0.27187,            0.047547,            0.018223,           0.0075453,              0.0082,              0.0082,              0.0082
