               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090687,            0.052026,            0.049139,           0.0011064,            0.035876,           0.0013806,          0.00042184,            0.085423,            0.025661,            0.072006,            0.070769,           0.0032479,           0.0032479
                   1,            0.071485,            0.041012,            0.023534,              0.3071,             0.19834,             0.14395,            0.049416,            0.071683,            0.021392,            0.045085,            0.040651,           0.0064627,           0.0064627
                   2,            0.063845,             0.03853,            0.016978,             0.39953,             0.23399,              0.1467,            0.054602,            0.062998,            0.021199,            0.026307,            0.010412,           0.0095576,           0.0095576
                   3,            0.059771,            0.038099,            0.014792,             0.20843,             0.24324,             0.15857,            0.056738,            0.066428,             0.05187,            0.030012,             0.00946,             0.00946,             0.00946
                   4,            0.056379,            0.037637,            0.011831,             0.28852,              0.3964,             0.24728,            0.091529,            0.059808,            0.035992,            0.031014,             0.00946,             0.00946,             0.00946
                   5,            0.053941,            0.035937,            0.010819,             0.27629,             0.42494,             0.33312,               0.152,            0.053473,            0.027577,            0.024296,             0.00928,             0.00928,             0.00928
                   6,            0.053568,            0.035373,           0.0097497,             0.55172,             0.54864,             0.53721,             0.26173,            0.049846,            0.018866,           0.0078644,              0.0091,              0.0091,              0.0091
                   7,            0.051942,            0.035597,           0.0086036,             0.49909,              0.4647,             0.47725,             0.24542,             0.04864,            0.018414,            0.022077,             0.00892,             0.00892,             0.00892
                   8,            0.051017,            0.034526,           0.0087304,             0.55552,             0.51364,             0.53512,             0.25926,            0.049531,            0.019036,            0.015968,             0.00874,             0.00874,             0.00874
                   9,            0.050518,            0.034709,           0.0075185,              0.5204,             0.54436,             0.52446,             0.27265,            0.048437,            0.018142,            0.015739,             0.00856,             0.00856,             0.00856
                  10,            0.049867,            0.034195,           0.0072815,             0.50315,             0.54474,             0.46337,             0.22408,            0.048489,            0.025131,            0.025708,             0.00838,             0.00838,             0.00838
                  11,            0.049734,            0.033907,           0.0071722,             0.63222,              0.5872,             0.61594,             0.32178,            0.045858,             0.01727,            0.010733,              0.0082,              0.0082,              0.0082
                  12,            0.048766,             0.03375,           0.0074587,             0.62333,             0.59783,             0.61946,             0.32263,            0.044844,            0.015954,           0.0046661,             0.00802,             0.00802,             0.00802
                  13,             0.04846,            0.033938,           0.0060752,              0.6622,             0.59968,             0.63187,             0.31661,            0.045908,             0.01672,           0.0041061,             0.00784,             0.00784,             0.00784
