               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032876,            0.021765,          0.00072393,             0.89075,              0.8117,             0.87633,             0.60012,            0.029855,            0.011159,          0.00094098,            0.070769,           0.0032479,           0.0032479
                   1,            0.035143,            0.022796,          0.00099436,             0.88637,             0.78478,             0.84995,             0.54551,            0.033273,            0.011475,          0.00093562,            0.040639,           0.0064509,           0.0064509
                   2,            0.036702,            0.023657,           0.0015113,              0.8568,             0.75193,             0.81377,             0.51224,            0.036743,            0.012952,           0.0035518,            0.010377,           0.0095219,           0.0095219
                   3,            0.037778,            0.025461,           0.0021747,             0.84099,             0.76443,             0.83032,             0.51976,            0.033664,             0.01268,            0.003598,            0.009406,            0.009406,            0.009406
                   4,            0.037739,            0.026126,           0.0023808,             0.82912,             0.70897,             0.80768,             0.49805,            0.035252,            0.013977,           0.0022967,            0.009406,            0.009406,            0.009406
                   5,            0.036693,            0.025734,           0.0026983,             0.82684,             0.71593,             0.80033,             0.50087,            0.034586,            0.013627,           0.0047448,            0.009208,            0.009208,            0.009208
                   6,            0.037092,            0.025716,           0.0021683,             0.82174,             0.72465,             0.79876,             0.48578,            0.034601,            0.013713,           0.0028659,             0.00901,             0.00901,             0.00901
                   7,            0.036537,            0.026261,           0.0022779,             0.82543,             0.75448,             0.83315,             0.51889,            0.034023,            0.012678,           0.0043744,            0.008812,            0.008812,            0.008812
                   8,            0.036053,            0.025393,           0.0020761,             0.85879,             0.74221,             0.83665,             0.53852,            0.032027,            0.012788,           0.0012946,            0.008614,            0.008614,            0.008614
                   9,            0.035942,            0.025751,           0.0022604,             0.82953,             0.74803,              0.8289,             0.53514,            0.032828,            0.012615,           0.0025959,            0.008416,            0.008416,            0.008416
                  10,            0.036092,            0.025608,           0.0022561,             0.81197,             0.78231,             0.84002,              0.5271,            0.033026,            0.012954,           0.0022754,            0.008218,            0.008218,            0.008218
                  11,            0.035834,            0.025263,           0.0019865,             0.87381,             0.76038,             0.83965,             0.52498,            0.032998,            0.012238,           0.0025891,             0.00802,             0.00802,             0.00802
                  12,             0.03538,             0.02549,            0.002389,             0.81402,             0.65321,             0.75644,             0.46047,            0.036027,            0.013744,            0.005539,            0.007822,            0.007822,            0.007822
                  13,             0.03583,            0.025765,           0.0022066,             0.82625,             0.74428,             0.80951,             0.49862,            0.035225,            0.013031,           0.0025785,            0.007624,            0.007624,            0.007624
                  14,            0.035302,            0.025065,            0.001871,             0.84654,             0.72082,             0.80025,              0.5236,            0.033294,            0.013285,           0.0027676,            0.007426,            0.007426,            0.007426
                  15,            0.035228,            0.025057,           0.0015602,             0.85129,             0.80361,             0.86348,             0.57111,            0.031336,            0.011747,           0.0015034,            0.007228,            0.007228,            0.007228
                  16,            0.034898,            0.024738,           0.0015817,             0.87569,             0.76018,             0.84698,              0.5375,            0.032929,             0.01276,           0.0015792,             0.00703,             0.00703,             0.00703
                  17,            0.034646,            0.025187,           0.0020209,             0.84482,             0.78179,             0.83969,             0.55179,            0.032318,            0.012197,            0.001778,            0.006832,            0.006832,            0.006832
                  18,            0.034722,            0.025068,           0.0018066,             0.86265,             0.76826,             0.84354,             0.56615,            0.031756,            0.012215,           0.0017775,            0.006634,            0.006634,            0.006634
                  19,            0.034465,            0.024515,            0.001561,             0.85098,             0.77057,             0.84893,             0.54907,            0.032469,             0.01217,           0.0023087,            0.006436,            0.006436,            0.006436
                  20,            0.034062,            0.024764,            0.001513,             0.85021,             0.80805,             0.86386,             0.58674,             0.03089,            0.011607,             0.00121,            0.006238,            0.006238,            0.006238
                  21,            0.033864,            0.024336,           0.0015444,             0.85767,             0.79756,             0.85778,             0.57082,             0.03148,             0.01208,           0.0014648,             0.00604,             0.00604,             0.00604
                  22,            0.033966,            0.024458,           0.0012586,             0.85452,             0.82183,             0.86171,             0.57423,            0.031293,            0.012389,           0.0014792,            0.005842,            0.005842,            0.005842
                  23,            0.033178,            0.023652,           0.0015419,              0.8824,              0.7895,             0.86209,             0.58243,            0.030442,             0.01157,          0.00084068,            0.005644,            0.005644,            0.005644
                  24,            0.033505,            0.024069,           0.0013664,             0.87811,             0.79522,             0.86008,             0.59429,             0.03026,            0.011608,           0.0010969,            0.005446,            0.005446,            0.005446
                  25,            0.033274,            0.023432,           0.0012734,             0.86498,             0.78743,             0.85335,             0.57065,             0.03099,            0.012095,           0.0017325,            0.005248,            0.005248,            0.005248
                  26,            0.033044,            0.024008,           0.0012117,             0.87042,             0.82001,             0.87324,             0.59458,            0.030368,            0.011588,           0.0008289,             0.00505,             0.00505,             0.00505
                  27,             0.03271,            0.023961,           0.0012887,             0.82184,             0.81014,             0.85926,             0.60017,            0.030184,            0.011829,           0.0011489,            0.004852,            0.004852,            0.004852
                  28,            0.032113,            0.023499,            0.001232,             0.85558,             0.82671,             0.87269,              0.6021,            0.030183,             0.01172,          0.00086342,            0.004654,            0.004654,            0.004654
                  29,            0.032565,             0.02317,           0.0011875,              0.8645,             0.81922,             0.86249,             0.57271,            0.031064,            0.011878,           0.0021135,            0.004456,            0.004456,            0.004456
                  30,            0.032442,            0.023321,           0.0013037,             0.87433,             0.81846,             0.87214,             0.60103,            0.029643,            0.011377,          0.00083702,            0.004258,            0.004258,            0.004258
                  31,            0.032665,            0.023771,           0.0011381,             0.91023,             0.80074,             0.87474,             0.61599,            0.029291,            0.011572,          0.00084238,             0.00406,             0.00406,             0.00406
                  32,            0.031398,            0.022489,           0.0011705,             0.89987,             0.80523,             0.87947,             0.60473,             0.02913,            0.011268,          0.00083261,            0.003862,            0.003862,            0.003862
                  33,            0.031257,            0.023574,           0.0010594,             0.87113,             0.81942,             0.87668,             0.61363,            0.028563,            0.011389,           0.0010792,            0.003664,            0.003664,            0.003664
                  34,            0.031719,            0.022775,           0.0011831,             0.87359,              0.8198,             0.87054,             0.59881,            0.030429,            0.011671,           0.0037196,            0.003466,            0.003466,            0.003466
                  35,            0.031891,            0.023524,           0.0012172,             0.89132,             0.80326,             0.87861,             0.60964,            0.028986,            0.011121,          0.00097046,            0.003268,            0.003268,            0.003268
                  36,            0.032112,            0.023051,           0.0010304,             0.91253,             0.80828,             0.89064,             0.62218,            0.028595,            0.010937,            0.001066,             0.00307,             0.00307,             0.00307
                  37,            0.031123,            0.022354,            0.001054,             0.88595,             0.81329,              0.8854,              0.6227,            0.029397,            0.011136,           0.0011815,            0.002872,            0.002872,            0.002872
                  38,             0.03102,            0.022624,           0.0010797,             0.89938,             0.80505,             0.87898,             0.61368,            0.029303,            0.011249,           0.0012578,            0.002674,            0.002674,            0.002674
                  39,             0.03123,            0.022993,          0.00089916,             0.90339,             0.81491,             0.88306,             0.62275,            0.029172,            0.010979,          0.00091076,            0.002476,            0.002476,            0.002476
                  40,            0.030712,            0.022511,          0.00098616,             0.88629,             0.82988,             0.88556,             0.62379,            0.028264,            0.011088,           0.0010293,            0.002278,            0.002278,            0.002278
                  41,            0.030636,            0.022703,          0.00084878,             0.90697,             0.82445,             0.88786,             0.63358,             0.02815,            0.010975,          0.00053542,             0.00208,             0.00208,             0.00208
                  42,            0.031148,            0.022797,          0.00079508,             0.89842,             0.82653,             0.88746,             0.63194,            0.028229,            0.011129,           0.0010067,            0.001882,            0.001882,            0.001882
                  43,            0.030278,            0.021842,          0.00092066,             0.89314,             0.83636,             0.89017,             0.64081,            0.028074,            0.011033,          0.00085093,            0.001684,            0.001684,            0.001684
                  44,            0.029686,            0.021541,          0.00075464,              0.8974,             0.84269,             0.89225,              0.6445,            0.027398,            0.010834,          0.00078545,            0.001486,            0.001486,            0.001486
                  45,            0.029955,             0.02203,          0.00067065,             0.90009,             0.82493,             0.88686,              0.6346,            0.027762,            0.010788,             0.00117,            0.001288,            0.001288,            0.001288
                  46,            0.029967,             0.02188,          0.00073742,             0.88203,             0.84433,             0.89469,             0.64611,            0.027448,            0.010732,          0.00057035,             0.00109,             0.00109,             0.00109
