               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077522,            0.046263,            0.022082,             0.74316,             0.32649,              0.4127,             0.17815,            0.064772,             0.02345,            0.016856,            0.070769,           0.0032479,           0.0032479
                   1,            0.056978,            0.032967,           0.0051715,             0.78371,             0.60669,             0.67727,             0.35252,            0.052655,            0.014902,           0.0057805,            0.040651,           0.0064627,           0.0064627
                   2,            0.052479,            0.031117,           0.0043663,             0.49318,             0.55127,             0.45765,             0.20715,            0.052953,            0.023117,            0.012925,            0.010412,           0.0095576,           0.0095576
                   3,            0.049748,            0.031849,           0.0055314,             0.59603,             0.61599,             0.58293,             0.25782,             0.05309,            0.030183,            0.011239,             0.00946,             0.00946,             0.00946
                   4,            0.047231,            0.031462,           0.0046679,              0.5503,             0.64559,             0.60559,             0.29081,            0.047867,            0.029263,           0.0050702,             0.00946,             0.00946,             0.00946
                   5,            0.045734,            0.030558,           0.0052852,             0.70298,             0.61002,             0.66414,             0.35663,             0.04513,            0.019091,           0.0076551,             0.00928,             0.00928,             0.00928
                   6,            0.045861,            0.030327,           0.0048383,             0.74614,             0.71564,             0.75228,             0.41036,             0.04297,            0.014734,           0.0031704,              0.0091,              0.0091,              0.0091
                   7,             0.04432,            0.030288,           0.0038238,             0.71498,             0.65271,             0.69989,              0.3983,            0.040079,            0.017233,           0.0078136,             0.00892,             0.00892,             0.00892
                   8,            0.043357,            0.029117,           0.0035847,             0.77535,             0.67244,               0.765,             0.45708,            0.039602,            0.015824,           0.0048925,             0.00874,             0.00874,             0.00874
                   9,             0.04289,            0.029177,           0.0030897,             0.72367,             0.77897,             0.78118,             0.46542,            0.039559,            0.013994,           0.0014651,             0.00856,             0.00856,             0.00856
                  10,            0.042266,            0.028927,           0.0033257,             0.78126,             0.69085,              0.7618,             0.42323,            0.040798,            0.014351,           0.0056571,             0.00838,             0.00838,             0.00838
                  11,            0.042392,            0.028471,           0.0028924,             0.81985,             0.70188,             0.77421,              0.4682,            0.038543,            0.014182,           0.0028138,              0.0082,              0.0082,              0.0082
                  12,            0.041281,            0.028491,           0.0030122,             0.82512,             0.69898,             0.77768,             0.45775,            0.038572,            0.013417,           0.0042732,             0.00802,             0.00802,             0.00802
                  13,            0.041351,            0.028601,            0.002697,             0.74337,             0.73958,             0.76713,             0.45108,            0.038508,            0.014781,            0.002773,             0.00784,             0.00784,             0.00784
                  14,            0.040593,            0.027713,           0.0023923,             0.79716,             0.75481,             0.80303,             0.49734,            0.036025,             0.01293,           0.0022016,             0.00766,             0.00766,             0.00766
                  15,            0.040637,            0.027769,           0.0023747,              0.8314,             0.76806,             0.82181,             0.50562,            0.035473,             0.01269,           0.0020133,             0.00748,             0.00748,             0.00748
                  16,            0.039813,            0.027162,           0.0020781,             0.82066,             0.76883,             0.81733,             0.51299,            0.035765,            0.013094,           0.0020172,              0.0073,              0.0073,              0.0073
                  17,            0.039622,            0.027402,           0.0022882,             0.82253,             0.74915,             0.81618,             0.51344,            0.035671,            0.012698,           0.0017192,             0.00712,             0.00712,             0.00712
                  18,            0.039375,            0.027365,           0.0022302,             0.79911,             0.75238,             0.80655,             0.51161,            0.034969,            0.012833,           0.0015386,             0.00694,             0.00694,             0.00694
                  19,            0.039112,            0.026614,           0.0020078,              0.8041,             0.75363,             0.81903,             0.50747,            0.036212,            0.012671,           0.0025081,             0.00676,             0.00676,             0.00676
                  20,            0.038773,            0.027201,           0.0021163,             0.80683,              0.7625,             0.80597,             0.51311,            0.035213,            0.013005,           0.0023828,             0.00658,             0.00658,             0.00658
                  21,            0.038491,            0.026602,           0.0020216,             0.82654,             0.75556,             0.81552,              0.5058,            0.036066,            0.012808,          0.00076919,              0.0064,              0.0064,              0.0064
                  22,            0.038711,            0.026771,           0.0020387,             0.82377,             0.76746,             0.82373,             0.53293,             0.03433,            0.012377,           0.0017677,             0.00622,             0.00622,             0.00622
                  23,            0.038095,            0.026105,           0.0021764,             0.85588,             0.75418,             0.82148,             0.51444,            0.034077,            0.012387,           0.0013559,             0.00604,             0.00604,             0.00604
                  24,            0.038258,            0.026633,           0.0020334,             0.82539,             0.72581,             0.79363,             0.50786,            0.034397,            0.012927,           0.0041874,             0.00586,             0.00586,             0.00586
                  25,            0.037992,              0.0258,           0.0017065,              0.8088,             0.79145,             0.83749,             0.54397,            0.033827,            0.012472,           0.0011657,             0.00568,             0.00568,             0.00568
                  26,            0.037495,             0.02639,           0.0018735,              0.8551,             0.77225,             0.83063,             0.53291,            0.034595,            0.012464,           0.0015678,              0.0055,              0.0055,              0.0055
                  27,            0.037114,            0.026532,           0.0020458,              0.8353,             0.77302,             0.82217,              0.5386,            0.033473,            0.012446,           0.0029645,             0.00532,             0.00532,             0.00532
                  28,             0.03652,            0.025859,           0.0016932,             0.85259,             0.77236,             0.82438,             0.53178,            0.033636,            0.012601,            0.001783,             0.00514,             0.00514,             0.00514
                  29,             0.03715,            0.025469,           0.0015869,             0.86782,             0.76338,             0.83281,             0.52854,            0.034019,            0.011933,            0.001719,             0.00496,             0.00496,             0.00496
                  30,            0.036724,            0.025511,           0.0017376,             0.85102,              0.7759,             0.84898,             0.55305,            0.033167,            0.011856,           0.0006822,             0.00478,             0.00478,             0.00478
                  31,            0.036958,            0.025939,           0.0015223,             0.82926,             0.80641,             0.84527,             0.54998,            0.033024,            0.012236,           0.0012528,              0.0046,              0.0046,              0.0046
                  32,            0.035813,            0.024843,           0.0016523,             0.85608,             0.78522,             0.84366,             0.55766,            0.032878,            0.012195,           0.0011777,             0.00442,             0.00442,             0.00442
                  33,            0.035535,            0.025882,           0.0014011,             0.85337,             0.79646,             0.84975,             0.56363,            0.032497,            0.011998,           0.0010799,             0.00424,             0.00424,             0.00424
                  34,            0.036107,            0.024994,           0.0015778,             0.87297,             0.78639,             0.84995,             0.56521,            0.032686,            0.011942,           0.0014577,             0.00406,             0.00406,             0.00406
                  35,            0.036042,            0.025481,           0.0014782,             0.84592,             0.80287,             0.84242,              0.5664,            0.032177,            0.012065,           0.0011746,             0.00388,             0.00388,             0.00388
                  36,             0.03632,            0.025261,            0.001261,             0.85652,             0.79599,             0.85511,             0.57076,               0.032,              0.0119,           0.0012053,              0.0037,              0.0037,              0.0037
                  37,            0.035347,            0.024484,           0.0014167,             0.85796,             0.79644,             0.85237,              0.5806,            0.031936,            0.011734,          0.00093656,             0.00352,             0.00352,             0.00352
                  38,            0.035317,            0.024918,           0.0014528,             0.86291,             0.78903,             0.85244,             0.56564,            0.032909,            0.011966,           0.0013978,             0.00334,             0.00334,             0.00334
                  39,            0.035651,            0.025191,           0.0012327,             0.86019,             0.80683,             0.86565,               0.588,             0.03203,            0.011601,          0.00098736,             0.00316,             0.00316,             0.00316
                  40,            0.034923,            0.024771,           0.0013998,             0.86301,             0.79736,             0.85852,             0.58228,            0.031818,             0.01159,           0.0010419,             0.00298,             0.00298,             0.00298
                  41,            0.034986,            0.025178,           0.0012138,             0.87957,             0.80653,             0.86869,             0.59293,             0.03162,            0.011532,            0.001079,              0.0028,              0.0028,              0.0028
                  42,            0.035408,            0.025208,           0.0010347,             0.84932,              0.8241,             0.86506,             0.58755,            0.031524,            0.011564,           0.0012462,             0.00262,             0.00262,             0.00262
                  43,            0.034583,            0.024083,           0.0011865,             0.87235,             0.79766,             0.85997,             0.58807,            0.031806,            0.011654,           0.0012453,             0.00244,             0.00244,             0.00244
                  44,            0.033944,            0.023988,           0.0012102,             0.85867,             0.81431,             0.85378,             0.57873,            0.031481,            0.011898,           0.0013419,             0.00226,             0.00226,             0.00226
                  45,            0.034448,            0.024369,           0.0010632,             0.85652,             0.81078,             0.85877,             0.58728,            0.031256,            0.011776,           0.0015093,             0.00208,             0.00208,             0.00208
                  46,            0.034194,            0.024244,           0.0010378,             0.90135,             0.79372,             0.86351,             0.59124,            0.031075,            0.011546,           0.0010305,              0.0019,              0.0019,              0.0019
                  47,             0.03402,            0.023945,           0.0010285,             0.83167,             0.83564,             0.86696,             0.58866,             0.03127,             0.01175,            0.001052,             0.00172,             0.00172,             0.00172
                  48,            0.034337,             0.02434,           0.0010559,             0.86523,             0.81801,             0.86456,             0.60108,            0.030666,            0.011575,           0.0012798,             0.00154,             0.00154,             0.00154
                  49,            0.034283,            0.024342,          0.00097439,             0.87169,             0.81182,             0.86685,             0.59864,            0.030788,            0.011586,           0.0008142,             0.00136,             0.00136,             0.00136
