bn layer,channle removed,YOLOV5s Params,difference ,orignal_channles
model.0.bn,1,7035125,686,32
model.1.bn,1,7035457,354,64
model.2.cv1.bn,1,7035713,98,32
model.2.cv2.bn,1,7035681,130,32
model.2.cv3.bn,1,7034593,1218,64
model.2.m.0.cv1.bn,1,7035489,322,32
model.2.m.0.cv2.bn,1,7035457,354,32
model.3.bn,1,7035105,706,128
model.4.cv1.bn,1,7035617,194,64
model.4.cv2.bn,1,7035553,258,64
model.4.cv3.bn,1,7033249,2562,128
model.4.m.0.cv1.bn,1,7035169,642,64
model.4.m.0.cv2.bn,1,7035169,642,64
model.4.m.1.cv1.bn,1,7035169,642,64
model.4.m.1.cv2.bn,1,7035105,706,64
model.5.bn,1,7034401,1410,256
model.6.cv1.bn,1,7035425,386,128
model.6.cv2.bn,1,7035297,514,128
model.6.cv3.bn,1,7030689,5122,256
model.6.m.0.cv1.bn,1,7034529,1282,128
model.6.m.0.cv2.bn,1,7034529,1282,128
model.6.m.1.cv1.bn,1,7034529,1282,128
model.6.m.1.cv2.bn,1,7034529,1282,128
model.6.m.2.cv1.bn,1,7034529,1282,128
model.6.m.2.cv2.bn,1,7034401,1410,128
model.7.bn,1,7032993,2818,512
model.8.cv1.bn,1,7035041,770,256
model.8.cv2.bn,1,7034785,1026,256
model.8.cv3.bn,1,7035041,770,512
model.8.m.0.cv1.bn,1,7033249,2562,256
model.8.m.0.cv2.bn,1,7032993,2818,256
model.9.cv1.bn,1,7033249,2562,256
model.9.cv2.bn,1,7034529,1282,512
model.10.bn,1,7034529,1282,256
model.13.cv1.bn,1,7035169,642,128
model.13.cv2.bn,1,7035041,770,128
model.13.cv3.bn,1,7035425,386,256
model.13.m.0.cv1.bn,1,7034529,1282,128
model.13.m.0.cv2.bn,1,7034401,1410,128
model.14.bn,1,7035169,642,128
model.17.cv1.bn,1,7035489,322,64
model.17.cv2.bn,1,7035425,386,64
model.17.cv3.bn,1,7034496,1315,128
model.17.m.0.cv1.bn,1,7035169,642,64
model.17.m.0.cv2.bn,1,7035105,706,64
model.18.bn,1,7034401,1410,128
model.20.cv1.bn,1,7035425,386,128
model.20.cv2.bn,1,7035297,514,128
model.20.cv3.bn,1,7033216,2595,256
model.20.m.0.cv1.bn,1,7034529,1282,128
model.20.m.0.cv2.bn,1,7034401,1410,128
model.21.bn,1,7032993,2818,256
model.23.cv1.bn,1,7035041,770,256
model.23.cv2.bn,1,7034785,1026,256
model.23.cv3.bn,1,7035264,547,512
model.23.m.0.cv1.bn,1,7033249,2562,256
model.23.m.0.cv2.bn,1,7032993,2818,256
